0	1.96023e-008
0.1	0.00263998
0.2	0.0610006
0.3	0.190229
0.4	0.343729
0.5	0.52909
0.6	0.670858
0.7	0.885302
0.8	1.09486
0.9	1.32993
1	1.53214
1.1	1.80336
1.2	2.04835
1.3	2.32036
1.4	2.63239
1.5	2.95553
1.6	3.33392
1.7	3.66732
1.8	4.11527
1.9	4.52413
2	4.97892
2.1	5.40295
2.2	5.86152
2.3	6.27032
2.4	6.74887
2.5	7.19417
2.6	7.70422
2.7	8.14903
2.8	8.66076
2.9	9.10514
3	9.6628
3.1	10.1709
3.2	10.769
3.3	11.2954
3.4	11.8432
3.5	12.3996
3.6	12.9573
3.7	13.5054
3.8	14.0601
3.9	14.6222
4	15.3065
4.1	15.9171
4.2	16.5125
4.3	17.1859
4.4	17.8243
4.5	18.4279
4.6	19.1555
4.7	19.8334
4.8	20.6081
4.9	21.3837
5	22.1033
5.1	22.8965
5.2	23.6237
5.3	24.3533
5.4	25.2052
5.5	25.9921
5.6	26.7721
5.7	27.6114
5.8	28.3446
5.9	29.1459
6	29.93
6.1	30.7657
6.2	31.5757
6.3	32.3957
6.4	33.2816
6.5	34.1158
6.6	34.9657
6.7	35.8205
6.8	36.7641
6.9	37.7093
7	38.6452
7.1	39.5908
7.2	40.5419
7.3	41.5741
7.4	42.5533
7.5	43.6653
7.6	44.6874
7.7	45.7594
7.8	46.8603
7.9	47.9953
8	49.0847
8.1	50.2772
8.2	51.4079
8.3	52.6545
8.4	53.8255
8.5	55.0809
8.6	56.2998
8.7	57.5885
8.8	58.8537
8.9	60.1452
9	61.4573
9.1	62.7456
9.2	64.0178
9.3	65.3392
9.4	66.7062
9.5	68.118
9.6	69.5241
9.7	70.9898
9.8	72.4901
9.9	73.9009
10	75.3666
10.1	76.9163
10.2	78.5377
10.3	80.1768
10.4	81.7533
10.5	83.3292
10.6	84.9832
10.7	86.6277
10.8	88.271
10.9	89.9271
11	91.5311
11.1	93.1323
11.2	94.8505
11.3	96.6632
11.4	98.3934
11.5	100.081
11.6	101.827
11.7	103.537
11.8	105.202
11.9	106.962
12	108.706
12.1	110.443
12.2	112.252
12.3	114.099
12.4	116.079
12.5	117.924
12.6	119.886
12.7	121.83
12.8	123.806
12.9	125.753
13	127.706
13.1	129.682
13.2	131.648
13.3	133.583
13.4	135.464
13.5	137.436
13.6	139.385
13.7	141.329
13.8	143.273
13.9	145.251
14	147.257
14.1	149.262
14.2	151.305
14.3	153.261
14.4	155.238
14.5	157.184
14.6	159.123
14.7	161.128
14.8	163.145
14.9	165.118
15	167.125
15.1	169.14
15.2	171.158
15.3	173.095
15.4	175.243
15.5	177.257
15.6	179.357
15.7	181.306
15.8	183.418
15.9	185.557
16	187.803
16.1	189.896
16.2	192.045
16.3	194.178
16.4	196.491
16.5	198.639
16.6	201.021
16.7	203.224
16.8	205.518
16.9	207.747
17	210.099
17.1	212.296
17.2	214.585
17.3	216.735
17.4	219.119
17.5	221.361
17.6	223.716
17.7	226.063
17.8	228.427
17.9	230.677
18	233.058
18.1	235.312
18.2	237.754
18.3	240.081
18.4	242.483
18.5	244.91
18.6	247.451
18.7	250.055
18.8	252.773
18.9	255.37
19	258.115
19.1	260.921
19.2	263.756
19.3	266.588
19.4	269.483
19.5	272.298
19.6	275.156
19.7	278.009
19.8	280.877
19.9	283.736
