0	7.83016
0.1	17.8282
0.2	25.7595
0.3	36.7321
0.4	49.7863
0.5	63.8069
0.6	82.7538
0.7	103.025
0.8	116.744
0.9	128.116
1	141.328
1.1	156.052
1.2	171.129
1.3	190.224
1.4	201.543
1.5	221.66
1.6	237.136
1.7	254.407
1.8	270.731
1.9	285.749
2	296.074
2.1	316.069
2.2	331.092
2.3	348.867
2.4	368.039
2.5	382.167
2.6	398.661
2.7	415.397
2.8	433.761
2.9	449.713
3	468.189
3.1	481.984
3.2	503.544
3.3	519.935
3.4	535.218
3.5	556.15
3.6	577.328
3.7	595.118
3.8	611.333
3.9	633.02
4	650.538
4.1	667.873
4.2	681.475
4.3	697.19
4.4	713.216
4.5	730.07
4.6	745.945
4.7	762.838
4.8	775.971
4.9	793.778
5	810.993
5.1	824.403
5.2	842.116
5.3	858.105
5.4	879.526
5.5	895.948
5.6	917.563
5.7	931.845
5.8	949.681
5.9	963.383
6	980.267
6.1	998.082
6.2	1013.86
6.3	1031.56
6.4	1046.52
6.5	1061.38
6.6	1079.17
6.7	1098.95
6.8	1117.7
6.9	1133.42
7	1148.65
7.1	1165.79
7.2	1182.87
7.3	1200.79
7.4	1214.67
7.5	1228.72
7.6	1248.48
7.7	1268.94
7.8	1287.15
7.9	1305.93
8	1322.94
8.1	1335.79
8.2	1355.91
8.3	1367.87
8.4	1385.4
8.5	1406.44
8.6	1418.16
8.7	1438.05
8.8	1454.13
8.9	1476.04
9	1492.41
9.1	1513.64
9.2	1527.42
9.3	1541.86
9.4	1561.12
9.5	1576.98
9.6	1590.85
9.7	1601.45
9.8	1617.62
9.9	1636.79
10	1653.81
10.1	1676.04
10.2	1694.12
10.3	1711
10.4	1725.56
10.5	1741.95
10.6	1759.89
10.7	1777.15
10.8	1792.56
10.9	1812.34
11	1830.34
11.1	1842.08
11.2	1855.7
11.3	1875.64
11.4	1895.04
11.5	1909.45
11.6	1927.35
11.7	1941.23
11.8	1961.94
11.9	1977.19
12	1993.33
12.1	2009.95
12.2	2027.69
12.3	2047.69
12.4	2064.76
12.5	2085.05
12.6	2101.91
12.7	2119.26
12.8	2132.09
12.9	2147.4
13	2158.14
13.1	2176.98
13.2	2192.58
13.3	2207.02
13.4	2223.69
13.5	2240.98
13.6	2254.7
13.7	2269.43
13.8	2289.87
13.9	2303.78
14	2320.85
14.1	2335.21
14.2	2352.37
14.3	2365.22
14.4	2379.02
14.5	2396.71
14.6	2409.61
14.7	2427.6
14.8	2445.37
14.9	2463.11
15	2478.7
15.1	2493.06
15.2	2505.43
15.3	2523.8
15.4	2542.31
15.5	2561.16
15.6	2576.4
15.7	2592.29
15.8	2606.1
15.9	2621.44
16	2636.34
16.1	2655.29
16.2	2670.67
16.3	2688.27
16.4	2703.83
16.5	2717.93
16.6	2735.44
16.7	2757.46
16.8	2771.08
16.9	2792.05
17	2811.16
17.1	2830.7
17.2	2847.37
17.3	2863.96
17.4	2878.61
17.5	2896.27
17.6	2915.52
17.7	2932.07
17.8	2944.75
17.9	2963.28
18	2981.31
18.1	2995.31
18.2	3013.07
18.3	3027.49
18.4	3047.05
18.5	3067.35
18.6	3088.92
18.7	3107.92
18.8	3126.73
18.9	3147.64
19	3162.9
19.1	3178.51
19.2	3190.3
19.3	3205.85
19.4	3219.96
19.5	3235
19.6	3250.36
19.7	3264.39
19.8	3280.64
19.9	3296.98
